year,level_1,value
2011,Central Police Division - Total,373
2011,Central Police Division - Bukit Merah East NPC,124
2011,Central Police Division - Marina Bay NPC,125
2011,Central Police Division - Rochor NPC,124
2011,Central Police Division - Unknown NPC,0
2011,Clementi Police Division - Total,380
2011,Clementi Police Division - Bukit Merah West NPC,135
2011,Clementi Police Division - Clementi NPC,73
2011,Clementi Police Division - Jurong East NPC,83
2011,Clementi Police Division - Queenstown NPC,89
2011,Clementi Police Division - Unknown NPC,0
2011,Tanglin Police Division - Total,423
2011,Tanglin Police Division - Bishan NPC,67
2011,Tanglin Police Division - Bukit Timah NPC,32
2011,Tanglin Police Division - Kampong Java NPC,52
2011,Tanglin Police Division - Orchard NPC,156
2011,Tanglin Police Division - Toa Payoh NPC,116
2011,Tanglin Police Division - Unknown NPC,0
2011,Ang Mo Kio Police Division - Total,625
2011,Ang Mo Kio Police Division - Ang Mo Kio North NPC,74
2011,Ang Mo Kio Police Division - Ang Mo Kio South NPC,59
2011,Ang Mo Kio Police Division - Hougang NPC,128
2011,Ang Mo Kio Police Division - Punggol NPC,na
2011,Ang Mo Kio Police Division - Sembawang NPC,39
2011,Ang Mo Kio Police Division - Sengkang NPC,115
2011,Ang Mo Kio Police Division - Serangoon NPC,72
2011,Ang Mo Kio Police Division - Yishun North NPC,91
2011,Ang Mo Kio Police Division - Yishun South NPC,47
2011,Ang Mo Kio Police Division - Unknown NPC,0
2011,Bedok Police Division - Total,830
2011,Bedok Police Division - Bedok NPC,199
2011,Bedok Police Division - Changi NPC,76
2011,Bedok Police Division - Geylang NPC,260
2011,Bedok Police Division - Marine Parade NPC,77
2011,Bedok Police Division - Pasir Ris NPC,84
2011,Bedok Police Division - Tampines NPC,134
2011,Bedok Police Division - Unknown NPC,0
2011,Jurong Police Division - Total,799
2011,Jurong Police Division - Bukit Batok NPC,114
2011,Jurong Police Division - Bukit Panjang NPC,55
2011,Jurong Police Division - Choa Chu Kang NPC,120
2011,Jurong Police Division - Jurong West NPC,129
2011,Jurong Police Division - Nanyang NPC,140
2011,Jurong Police Division - Woodlands NPC,241
2011,Jurong Police Division - Woodlands East NPC,na
2011,Jurong Police Division - Woodlands West NPC,na
2011,Jurong Police Division - Unknown NPC,0
2011,Woodlands Police Division - Total,na
2011,Woodlands Police Division - Woodlands East NPC,na
2011,Woodlands Police Division - Woodlands West NPC,na
2011,Woodlands Police Division - Yishun North NPC,na
2011,Woodlands Police Division - Yishun South NPC,na
2011,Woodlands Police Division - Sembawang NPC,na
2011,Woodlands Police Division - Checkpoint,na
2011,Woodlands Police Division - Unknown NPC,na
2012,Central Police Division - Total,337
2012,Central Police Division - Bukit Merah East NPC,84
2012,Central Police Division - Marina Bay NPC,106
2012,Central Police Division - Rochor NPC,147
2012,Central Police Division - Unknown NPC,0
2012,Clementi Police Division - Total,346
2012,Clementi Police Division - Bukit Merah West NPC,105
2012,Clementi Police Division - Clementi NPC,81
2012,Clementi Police Division - Jurong East NPC,67
2012,Clementi Police Division - Queenstown NPC,93
2012,Clementi Police Division - Unknown NPC,0
2012,Tanglin Police Division - Total,406
2012,Tanglin Police Division - Bishan NPC,43
2012,Tanglin Police Division - Bukit Timah NPC,48
2012,Tanglin Police Division - Kampong Java NPC,65
2012,Tanglin Police Division - Orchard NPC,162
2012,Tanglin Police Division - Toa Payoh NPC,88
2012,Tanglin Police Division - Unknown NPC,0
2012,Ang Mo Kio Police Division - Total,580
2012,Ang Mo Kio Police Division - Ang Mo Kio North NPC,61
2012,Ang Mo Kio Police Division - Ang Mo Kio South NPC,71
2012,Ang Mo Kio Police Division - Hougang NPC,119
2012,Ang Mo Kio Police Division - Punggol NPC,na
2012,Ang Mo Kio Police Division - Sembawang NPC,57
2012,Ang Mo Kio Police Division - Sengkang NPC,87
2012,Ang Mo Kio Police Division - Serangoon NPC,66
2012,Ang Mo Kio Police Division - Yishun North NPC,72
2012,Ang Mo Kio Police Division - Yishun South NPC,47
2012,Ang Mo Kio Police Division - Unknown NPC,0
2012,Bedok Police Division - Total,764
2012,Bedok Police Division - Bedok NPC,218
2012,Bedok Police Division - Changi NPC,59
2012,Bedok Police Division - Geylang NPC,273
2012,Bedok Police Division - Marine Parade NPC,52
2012,Bedok Police Division - Pasir Ris NPC,64
2012,Bedok Police Division - Tampines NPC,98
2012,Bedok Police Division - Unknown NPC,0
2012,Jurong Police Division - Total,664
2012,Jurong Police Division - Bukit Batok NPC,67
2012,Jurong Police Division - Bukit Panjang NPC,56
2012,Jurong Police Division - Choa Chu Kang NPC,82
2012,Jurong Police Division - Jurong West NPC,130
2012,Jurong Police Division - Nanyang NPC,97
2012,Jurong Police Division - Woodlands NPC,na
2012,Jurong Police Division - Woodlands East NPC,114
2012,Jurong Police Division - Woodlands West NPC,118
2012,Jurong Police Division - Unknown NPC,0
2012,Woodlands Police Division - Total,na
2012,Woodlands Police Division - Woodlands East NPC,na
2012,Woodlands Police Division - Woodlands West NPC,na
2012,Woodlands Police Division - Yishun North NPC,na
2012,Woodlands Police Division - Yishun South NPC,na
2012,Woodlands Police Division - Sembawang NPC,na
2012,Woodlands Police Division - Checkpoint,na
2012,Woodlands Police Division - Unknown NPC,na
2013,Central Police Division - Total,333
2013,Central Police Division - Bukit Merah East NPC,95
2013,Central Police Division - Marina Bay NPC,92
2013,Central Police Division - Rochor NPC,146
2013,Central Police Division - Unknown NPC,0
2013,Clementi Police Division - Total,299
2013,Clementi Police Division - Bukit Merah West NPC,82
2013,Clementi Police Division - Clementi NPC,60
2013,Clementi Police Division - Jurong East NPC,73
2013,Clementi Police Division - Queenstown NPC,84
2013,Clementi Police Division - Unknown NPC,0
2013,Tanglin Police Division - Total,370
2013,Tanglin Police Division - Bishan NPC,57
2013,Tanglin Police Division - Bukit Timah NPC,38
2013,Tanglin Police Division - Kampong Java NPC,63
2013,Tanglin Police Division - Orchard NPC,135
2013,Tanglin Police Division - Toa Payoh NPC,77
2013,Tanglin Police Division - Unknown NPC,0
2013,Ang Mo Kio Police Division - Total,403
2013,Ang Mo Kio Police Division - Ang Mo Kio North NPC,42
2013,Ang Mo Kio Police Division - Ang Mo Kio South NPC,35
2013,Ang Mo Kio Police Division - Hougang NPC,84
2013,Ang Mo Kio Police Division - Punggol NPC,20
2013,Ang Mo Kio Police Division - Sembawang NPC,31
2013,Ang Mo Kio Police Division - Sengkang NPC,54
2013,Ang Mo Kio Police Division - Serangoon NPC,35
2013,Ang Mo Kio Police Division - Yishun North NPC,74
2013,Ang Mo Kio Police Division - Yishun South NPC,28
2013,Ang Mo Kio Police Division - Unknown NPC,0
2013,Bedok Police Division - Total,695
2013,Bedok Police Division - Bedok NPC,173
2013,Bedok Police Division - Changi NPC,68
2013,Bedok Police Division - Geylang NPC,234
2013,Bedok Police Division - Marine Parade NPC,62
2013,Bedok Police Division - Pasir Ris NPC,59
2013,Bedok Police Division - Tampines NPC,99
2013,Bedok Police Division - Unknown NPC,0
2013,Jurong Police Division - Total,614
2013,Jurong Police Division - Bukit Batok NPC,74
2013,Jurong Police Division - Bukit Panjang NPC,49
2013,Jurong Police Division - Choa Chu Kang NPC,95
2013,Jurong Police Division - Jurong West NPC,97
2013,Jurong Police Division - Nanyang NPC,119
2013,Jurong Police Division - Woodlands NPC,na
2013,Jurong Police Division - Woodlands East NPC,93
2013,Jurong Police Division - Woodlands West NPC,87
2013,Jurong Police Division - Unknown NPC,0
2013,Woodlands Police Division - Total,na
2013,Woodlands Police Division - Woodlands East NPC,na
2013,Woodlands Police Division - Woodlands West NPC,na
2013,Woodlands Police Division - Yishun North NPC,na
2013,Woodlands Police Division - Yishun South NPC,na
2013,Woodlands Police Division - Sembawang NPC,na
2013,Woodlands Police Division - Checkpoint,na
2013,Woodlands Police Division - Unknown NPC,na
2014,Central Police Division - Total,342
2014,Central Police Division - Bukit Merah East NPC,103
2014,Central Police Division - Marina Bay NPC,113
2014,Central Police Division - Rochor NPC,126
2014,Central Police Division - Unknown NPC,0
2014,Clementi Police Division - Total,262
2014,Clementi Police Division - Bukit Merah West NPC,66
2014,Clementi Police Division - Clementi NPC,71
2014,Clementi Police Division - Jurong East NPC,68
2014,Clementi Police Division - Queenstown NPC,57
2014,Clementi Police Division - Unknown NPC,0
2014,Tanglin Police Division - Total,324
2014,Tanglin Police Division - Bishan NPC,35
2014,Tanglin Police Division - Bukit Timah NPC,40
2014,Tanglin Police Division - Kampong Java NPC,51
2014,Tanglin Police Division - Orchard NPC,138
2014,Tanglin Police Division - Toa Payoh NPC,60
2014,Tanglin Police Division - Unknown NPC,0
2014,Ang Mo Kio Police Division - Total,366
2014,Ang Mo Kio Police Division - Ang Mo Kio North NPC,45
2014,Ang Mo Kio Police Division - Ang Mo Kio South NPC,41
2014,Ang Mo Kio Police Division - Hougang NPC,55
2014,Ang Mo Kio Police Division - Punggol NPC,14
2014,Ang Mo Kio Police Division - Sembawang NPC,34
2014,Ang Mo Kio Police Division - Sengkang NPC,57
2014,Ang Mo Kio Police Division - Serangoon NPC,46
2014,Ang Mo Kio Police Division - Yishun North NPC,50
2014,Ang Mo Kio Police Division - Yishun South NPC,24
2014,Ang Mo Kio Police Division - Unknown NPC,0
2014,Bedok Police Division - Total,562
2014,Bedok Police Division - Bedok NPC,150
2014,Bedok Police Division - Changi NPC,48
2014,Bedok Police Division - Geylang NPC,191
2014,Bedok Police Division - Marine Parade NPC,39
2014,Bedok Police Division - Pasir Ris NPC,49
2014,Bedok Police Division - Tampines NPC,85
2014,Bedok Police Division - Unknown NPC,0
2014,Jurong Police Division - Total,524
