year,value,Division,NPC
2011,124.0,Central Police Division,Bukit Merah East NPC
2011,125.0,Central Police Division,Marina Bay NPC
2011,124.0,Central Police Division,Rochor NPC
2011,135.0,Clementi Police Division,Bukit Merah West NPC
2011,73.0,Clementi Police Division,Clementi NPC
2011,83.0,Clementi Police Division,Jurong East NPC
2011,89.0,Clementi Police Division,Queenstown NPC
2011,67.0,Tanglin Police Division,Bishan NPC
2011,32.0,Tanglin Police Division,Bukit Timah NPC
2011,52.0,Tanglin Police Division,Kampong Java NPC
2011,156.0,Tanglin Police Division,Orchard NPC
2011,116.0,Tanglin Police Division,Toa Payoh NPC
2011,74.0,Ang Mo Kio Police Division,Ang Mo Kio North NPC
2011,59.0,Ang Mo Kio Police Division,Ang Mo Kio South NPC
2011,128.0,Ang Mo Kio Police Division,Hougang NPC
2011,,Ang Mo Kio Police Division,Punggol NPC
2011,39.0,Ang Mo Kio Police Division,Sembawang NPC
2011,115.0,Ang Mo Kio Police Division,Sengkang NPC
2011,72.0,Ang Mo Kio Police Division,Serangoon NPC
2011,91.0,Ang Mo Kio Police Division,Yishun North NPC
2011,47.0,Ang Mo Kio Police Division,Yishun South NPC
2011,199.0,Bedok Police Division,Bedok NPC
2011,76.0,Bedok Police Division,Changi NPC
2011,260.0,Bedok Police Division,Geylang NPC
2011,77.0,Bedok Police Division,Marine Parade NPC
2011,84.0,Bedok Police Division,Pasir Ris NPC
2011,134.0,Bedok Police Division,Tampines NPC
2011,114.0,Jurong Police Division,Bukit Batok NPC
2011,55.0,Jurong Police Division,Bukit Panjang NPC
2011,120.0,Jurong Police Division,Choa Chu Kang NPC
2011,129.0,Jurong Police Division,Jurong West NPC
2011,140.0,Jurong Police Division,Nanyang NPC
2011,241.0,Jurong Police Division,Woodlands NPC
2011,,Jurong Police Division,Woodlands East NPC
2011,,Jurong Police Division,Woodlands West NPC
2011,,Woodlands Police Division,Woodlands East NPC
2011,,Woodlands Police Division,Woodlands West NPC
2011,,Woodlands Police Division,Yishun North NPC
2011,,Woodlands Police Division,Yishun South NPC
2011,,Woodlands Police Division,Sembawang NPC
2011,,Woodlands Police Division,Checkpoint
2012,84.0,Central Police Division,Bukit Merah East NPC
2012,106.0,Central Police Division,Marina Bay NPC
2012,147.0,Central Police Division,Rochor NPC
2012,105.0,Clementi Police Division,Bukit Merah West NPC
2012,81.0,Clementi Police Division,Clementi NPC
2012,67.0,Clementi Police Division,Jurong East NPC
2012,93.0,Clementi Police Division,Queenstown NPC
2012,43.0,Tanglin Police Division,Bishan NPC
2012,48.0,Tanglin Police Division,Bukit Timah NPC
2012,65.0,Tanglin Police Division,Kampong Java NPC
2012,162.0,Tanglin Police Division,Orchard NPC
2012,88.0,Tanglin Police Division,Toa Payoh NPC
2012,61.0,Ang Mo Kio Police Division,Ang Mo Kio North NPC
2012,71.0,Ang Mo Kio Police Division,Ang Mo Kio South NPC
2012,119.0,Ang Mo Kio Police Division,Hougang NPC
2012,,Ang Mo Kio Police Division,Punggol NPC
2012,57.0,Ang Mo Kio Police Division,Sembawang NPC
2012,87.0,Ang Mo Kio Police Division,Sengkang NPC
2012,66.0,Ang Mo Kio Police Division,Serangoon NPC
2012,72.0,Ang Mo Kio Police Division,Yishun North NPC
2012,47.0,Ang Mo Kio Police Division,Yishun South NPC
2012,218.0,Bedok Police Division,Bedok NPC
2012,59.0,Bedok Police Division,Changi NPC
2012,273.0,Bedok Police Division,Geylang NPC
2012,52.0,Bedok Police Division,Marine Parade NPC
2012,64.0,Bedok Police Division,Pasir Ris NPC
2012,98.0,Bedok Police Division,Tampines NPC
2012,67.0,Jurong Police Division,Bukit Batok NPC
2012,56.0,Jurong Police Division,Bukit Panjang NPC
